IID	AGE	SEX	PC01	PC02	PC03	PC04	PC05
ID_090	1.62158228613433	1	0.0107208	-0.00697605	-0.00114575	-0.00800269	-0.000470397
ID_091	0.049726237177672	0	0.0106391	-0.00661053	-0.000617005	-0.00745807	0.000643295
ID_092	1.509306854066	0	-0.0109452	-0.0044492	-0.00125186	-0.00283607	-0.00391898
ID_093	2.48236059865822	1	0.00467435	0.08682	-0.0478794	-0.014951	0.00194066
ID_094	0.854366833667392	0	0.0104341	-0.00669968	-0.00118142	-0.00831422	0.00174911
ID_095	-0.736201787300659	0	0.0104083	-0.00726876	-0.000794992	-0.00659627	0.00107935
ID_096	-0.56778863919816	0	0.0105995	-0.00598636	0.00230639	-0.00533615	0.000211989
ID_097	-0.736201787300659	1	-0.0160817	-0.00474154	0.000715001	-0.0030285	0.00186305
ID_098	0.124576525223227	1	0.0101722	-0.00671413	-0.00152083	0.00105704	0.000478969
ID_099	0.386552533382671	0	0.00426489	0.079632	-0.0427186	-0.00993829	0.00229024
ID_100	-0.343237775061493	0	-0.00825173	-0.00628726	0.000182497	-0.00906804	-0.00431022
